tic_id,gaia_id,pl_orbper,pl_radj,pl_massj,pl_dens,pl_orbeccen,pl_eqt,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_pmra,sy_pmdec,sy_dist
TIC 234112540,Gaia DR2 3125611120515388800,4.0378962,1.388,0.467,0.217,0.09,1438,1.461,,,,6100,1.19,1,,101.2772396,0.8152163,-3.0708,-8.27818,882.472
TIC 234112540,Gaia DR2 3125611120515388800,4.0378962,1.182,0.47,0.354,,1348,,,10.235,,6100,1.05,1.02,,101.2772396,0.8152163,-3.0708,-8.27818,882.472
TIC 234112540,Gaia DR2 3125611120515388800,4.0378962,1.388,0.478,0.221,0.087,,,,,,6100,1.19,1,,101.2772396,0.8152163,-3.0708,-8.27818,882.472
TIC 234112540,Gaia DR2 3125611120515388800,4.0379156,1.256,0.459,0.288,,1397,,,9.54,0.1155,,1.11,0.99,0.18,101.2772396,0.8152163,-3.0708,-8.27818,882.472
TIC 130502317,Gaia DR2 4285684673395749120,8.886593,1.166,2.96,2.32,0.1,1017,,4.08,17.94,0.1169,6090,1.02,1.05,,281.0725563,6.6632062,5.51211,1.84048,645.294
TIC 130502317,Gaia DR2 4285684673395749120,8.886593,1.166,2.95,2.3,0.18,,,,,,6090,1.02,1.05,,281.0725563,6.6632062,5.51211,1.84048,645.294
TIC 130502317,Gaia DR2 4285684673395749120,8.886593,1.185,2.96,2.21,,1025,,,17.637,,6090,1.04,1.05,,281.0725563,6.6632062,5.51211,1.84048,645.294
TIC 280304863,Gaia DR2 3107267177757848576,0.85359163,0.15,0.01283,,0,,0.035,,4.26,,5275,0.83,0.82,,100.9561682,-1.0630076,10.9604,-0.10752,159.906
TIC 280304863,Gaia DR2 3107267177757848576,0.854,0.141,0.01447,6.5,,,,,,0.0172,5313,0.84,0.88,,100.9561682,-1.0630076,10.9604,-0.10752,159.906
TIC 280304863,Gaia DR2 3107267177757848576,0.853585,0.166,0.022,6,,1910,,,3.788,,5250,0.96,0.88,,100.9561682,-1.0630076,10.9604,-0.10752,159.906
TIC 280304863,Gaia DR2 3107267177757848576,0.85359159,0.141,0.018,7.5,0,1756,,1.059,4.484,0.01784,5259,0.82,0.91,,100.9561682,-1.0630076,10.9604,-0.10752,159.906
TIC 280304863,Gaia DR2 3107267177757848576,0.853585,0.15,0.066,,,,0.0335,1.125,4.27,0.0187,5275,0.87,0.93,,100.9561682,-1.0630076,10.9604,-0.10752,159.906
TIC 280304863,Gaia DR2 3107267177757848576,0.8535,0.136,0.01905,9.355,,,,,,,5250,,0.92,,100.9561682,-1.0630076,10.9604,-0.10752,159.906
TIC 391880567,Gaia DR2 4287832775526476800,6.212445,0.619,0.218,1.1,,870,,,13.7,0.0849,,0.8,0.89,-0.4,291.5885696,1.4262972,13.5768,-32.7832,322.037
TIC 391880567,Gaia DR2 4287832775526476800,6.21229,0.57,0.22,1.6,0,,0.651,2.74,17.6,0.075,5080,0.77,0.88,,291.5885696,1.4262972,13.5768,-32.7832,322.037
TIC 391880567,Gaia DR2 4287832775526476800,6.21229,0.712,0.216,0.74,,922,,,15.175,,5080,0.9,0.88,,291.5885696,1.4262972,13.5768,-32.7832,322.037
TIC 391880567,Gaia DR2 4287832775526476800,6.212381,0.57,0.218,1.45,0.19,,,,,,5080,0.77,0.88,,291.5885696,1.4262972,13.5768,-32.7832,322.037
TIC 130162252,Gaia DR2 4285571629874670080,95.2738,1.05,0.84,0.9,0.11,,1.55,8.08,93,0.115,5625,0.94,0.99,,280.7866461,6.2040783,-14.471,-14.9187,412.98
TIC 130162252,Gaia DR2 4285571629874670080,95.272656,1.066,0.846,0.91,0.134,,,,,,5625,0.96,0.96,,280.7866461,6.2040783,-14.471,-14.9187,412.98
TIC 130162252,Gaia DR2 4285571629874670080,95.272656,1.066,0.84,0.86,0.133,420,,8.268,89.9,0.11402,5625,0.96,0.96,,280.7866461,6.2040783,-14.471,-14.9187,412.98
TIC 130162252,Gaia DR2 4285571629874670080,95.2738,1.037,0.826,0.92,,413,,,92.3361,,5625,0.94,0.96,,280.7866461,6.2040783,-14.471,-14.9187,412.98
TIC 220323515,Gaia DR2 3326541506073371776,6.71837,0.57,0.15,1.1,,938,0.29,2.496,,0.054,5970,0.79,1.08,-0.155,100.1951714,9.2573953,0.981128,-4.55557,576.683
TIC 268148971,Gaia DR2 151374202498079872,,2.7,11,,,2200,,,,,4371,1.37,0.68,-0.212,67.4231674,26.5493897,7.06547,-20.699,134.846
TIC 410214986,Gaia DR2 6387058411482257536,8.1387,0.5,1.3,,,,,,19.42,0.05972,5542,0.87,0.96,,354.9154673,-69.196043,79.4639,-67.4396,44.0622
TIC 243244680,Gaia DR2 636363799347569408,19.49213,0.546,0.08495,0.65,0,886,,3.91,23.1,0.0407,6025,1.38,1.18,,136.5741931,19.4020565,45.4915,-41.7905,181.69
